id;date;vaccines;tests;confirmed;recovered;deaths;hosp;vent;icu;population;school_closing;workplace_closing;cancel_events;gatherings_restrictions;transport_closing;stay_home_restrictions;internal_movement_restrictions;international_movement_restrictions;information_campaigns;testing_policy;contact_tracing;stringency_index;iso_alpha_3;iso_alpha_2;iso_numeric;currency;administrative_area_level;administrative_area_level_1;administrative_area_level_2;administrative_area_level_3;latitude;longitude;key;key_apple_mobility;key_google_mobility
AUT;22/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;23/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;24/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;25/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;26/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;27/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;28/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;29/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;30/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;31/01/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;0;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;01/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;02/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;03/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;04/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;05/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;06/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;07/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;08/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;09/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;10/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;11/02/2020;;;;;;;;;8840521;0;0;0;0;0;0;0;0;0;1;0;0;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
