Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,7139.390137,7193.430176,7129.439941,7170.459961,7170.459961,29486300
2020-01-23,7169.890137,7186.439941,7112.649902,7120.669922,7120.669922,25288000
2020-01-24,7119.600098,7220.790039,7119.600098,7180.799805,7180.799805,25461000
2020-01-27,7177.919922,7177.919922,7015.990234,7056.029785,7056.029785,33724100
2020-01-28,7056.979980,7095.850098,6982.689941,7078.299805,7078.299805,20809400
2020-01-29,7076.660156,7171.580078,7076.660156,7169.250000,7169.250000,29590200
2020-01-30,7167.040039,7167.040039,7060.299805,7078.770020,7078.770020,25462300
2020-01-31,7078.250000,7130.720215,6981.959961,6998.200195,6998.200195,23282700
2020-02-03,7011.569824,7103.149902,7010.790039,7097.509766,7097.509766,25434200
2020-02-04,7100.850098,7160.220215,7089.600098,7134.419922,7134.419922,55456400
2020-02-05,7126.310059,7256.229980,7117.060059,7199.290039,7199.290039,28888900
2020-02-06,7209.319824,7234.910156,7162.790039,7187.169922,7187.169922,37338300
2020-02-07,7189.149902,7189.149902,7095.560059,7151.470215,7151.470215,22623600
2020-02-10,7152.250000,7155.430176,7048.509766,7065.529785,7065.529785,42760700
2020-02-11,7065.509766,7159.319824,7065.509766,7157.669922,7157.669922,39625100
2020-02-12,7156.240234,7207.330078,7132.310059,7204.970215,7204.970215,44479900
2020-02-13,7193.040039,7193.040039,7102.839844,7165.700195,7165.700195,41061900
2020-02-14,7155.009766,7207.069824,7155.009766,7171.100098,7171.100098,19519300
2020-02-17,7170.500000,7209.419922,7133.160156,7157.209961,7157.209961,11044600
2020-02-18,7158.109863,7201.009766,7118.529785,7155.879883,7155.879883,26072700
2020-02-19,7156.410156,7266.200195,7156.410156,7255.140137,7255.140137,38063400
2020-02-20,7254.490234,7283.060059,7212.049805,7235.629883,7235.629883,26321900
2020-02-21,7235.270020,7266.959961,7174.600098,7240.189941,7240.189941,19370000
2020-02-24,7240.189941,7240.189941,6913.310059,6925.189941,6925.189941,31325300
2020-02-25,6925.379883,7002.209961,6826.959961,6827.310059,6827.310059,31123500
2020-02-26,6828.140137,6865.319824,6611.609863,6832.109863,6832.109863,39445000
2020-02-27,6828.779785,6828.779785,6476.629883,6569.600098,6569.600098,44744000
2020-02-28,6566.959961,6566.959961,6327.029785,6397.370117,6397.370117,68268500
2020-03-02,6394.189941,6528.100098,6297.609863,6387.520020,6387.520020,49694800
2020-03-03,6389.109863,6608.459961,6389.109863,6486.689941,6486.689941,55136600
2020-03-04,6487.149902,6578.870117,6486.509766,6538.600098,6538.600098,41561800
2020-03-05,6548.129883,6599.040039,6398.939941,6447.680176,6447.680176,53466300
2020-03-06,6401.950195,6401.950195,6187.589844,6266.529785,6266.529785,104295700
2020-03-09,6264.729980,6265.109863,5848.419922,5864.700195,5864.700195,46280100
2020-03-10,5870.500000,6113.939941,5787.529785,5826.649902,5826.649902,51593100
2020-03-11,5825.979980,5944.859863,5687.430176,5691.439941,5691.439941,45681000
2020-03-12,5689.970215,5689.970215,5081.450195,5125.939941,5125.939941,75187500
2020-03-13,5126.899902,5481.009766,5099.529785,5148.430176,5148.430176,60895600
2020-03-16,5147.149902,5147.149902,4507.970215,4740.390137,4740.390137,63162700
2020-03-17,4740.549805,4860.799805,4500.720215,4731.850098,4731.850098,61604300
2020-03-18,4731.279785,4731.279785,4300.220215,4366.529785,4366.529785,71008200
2020-03-19,4368.200195,4465.529785,4273.040039,4432.009766,4432.009766,56936100
2020-03-20,4433.149902,4783.839844,4433.149902,4603.870117,4603.870117,92540400
2020-03-23,4597.930176,4597.930176,4249.919922,4470.970215,4470.970215,63187400
2020-03-24,4486.120117,4781.290039,4486.120117,4781.290039,4781.290039,57201500
2020-03-25,4787.959961,5080.120117,4775.700195,4970.209961,4970.209961,57412200
2020-03-26,4970.049805,5196.709961,4886.299805,5196.709961,5196.709961,43947600
2020-03-27,5176.899902,5176.899902,4887.479980,4916.399902,4916.399902,39402800
2020-03-30,4915.600098,4959.160156,4753.040039,4943.359863,4943.359863,36522200
2020-03-31,4966.959961,5153.649902,4966.959961,5153.649902,5153.649902,103081600
2020-04-01,5138.910156,5138.910156,4938.410156,4990.979980,4990.979980,45693700
2020-04-02,4993.140137,5024.120117,4864.209961,4880.109863,4880.109863,40820700
2020-04-03,4877.790039,4902.479980,4771.779785,4784.669922,4784.669922,77709600
2020-04-06,4787.890137,5022.830078,4787.890137,5017.089844,5017.089844,37128400
2020-04-07,5017.729980,5260.419922,5017.729980,5115.000000,5115.000000,50750000
2020-04-08,5115.029785,5125.500000,5041.560059,5109.839844,5109.839844,36168900
2020-04-09,5109.839844,5314.169922,5109.839844,5289.180176,5289.180176,46729500
2020-04-14,5304.740234,5317.140137,5160.470215,5183.339844,5183.339844,46005400
2020-04-15,5183.569824,5183.569824,4966.540039,4970.390137,4970.390137,57179400
2020-04-16,4971.129883,5113.910156,4971.129883,5082.990234,5082.990234,69043300
2020-04-17,5093.990234,5321.930176,5093.990234,5277.520020,5277.520020,42643300
2020-04-20,5277.520020,5330.790039,5218.589844,5235.490234,5235.490234,47451300
2020-04-21,5234.490234,5234.490234,5113.729980,5120.600098,5120.600098,30362300
2020-04-22,5120.740234,5264.339844,5120.740234,5232.330078,5232.330078,42795400
2020-04-23,5239.839844,5275.759766,5190.220215,5262.609863,5262.609863,53358700
2020-04-24,5263.339844,5354.229980,5192.180176,5294.950195,5294.950195,34558200
2020-04-27,5295.529785,5442.319824,5295.529785,5393.270020,5393.270020,28582300
2020-04-28,5398.520020,5507.080078,5387.479980,5481.109863,5481.109863,36484800
2020-04-29,5480.939941,5693.189941,5480.069824,5687.359863,5687.359863,43402800
2020-04-30,5708.819824,5805.200195,5572.790039,5603.000000,5603.000000,39631100
2020-05-04,5602.750000,5602.750000,5379.149902,5386.490234,5386.490234,38867400
2020-05-05,5386.560059,5484.390137,5371.810059,5379.689941,5379.689941,35362600
2020-05-06,5384.140137,5399.990234,5298.040039,5308.810059,5308.810059,33896000
2020-05-07,5322.149902,5455.060059,5322.149902,5423.779785,5423.779785,33784800
2020-05-08,5423.990234,5554.569824,5423.990234,5507.649902,5507.649902,13225000
2020-05-11,5507.649902,5558.660156,5404.250000,5412.080078,5412.080078,65866900
2020-05-12,5412.660156,5451.330078,5373.020020,5391.569824,5391.569824,52872700
2020-05-13,5391.180176,5391.180176,5306.009766,5325.200195,5325.200195,51585500
2020-05-14,5320.520020,5325.029785,5145.430176,5277.979980,5277.979980,43226700
